War,Start (UTC),Days,Casualties,Winner
125,19 May 2025,28,3460349,Colonials
124,9 Apr 2025,38.2,5192577,Wardens
123,27 Mar 2025,11,1635183,Wardens
122,11 Feb 2025,42.6,5014541,Colonials
121,19 Jan 2025,21.3,2696714,Wardens
120,23 Dec 2024,24.7,3456945,Colonials
119,18 Nov 2024,32.6,6149267,Wardens
118,5 Nov 2024,7.1,1248393,Wardens
117,15 Sep 2024,49.5,7619075,Wardens
116,29 Aug 2024,15.4,2611483,Colonials
115,16 Jul 2024,42.6,6284584,Colonials
114,16 Jun 2024,26.5,3184340,Wardens
113,14 May 2024,30.8,2907510,Colonials
112,3 Apr 2024,38.4,4813956,Colonials
111,24 Feb 2024,31.5,3238472,Wardens
110,10 Jan 2024,43.3,4644901,Wardens
109,5 Dec 2023,33.6,3246440,Colonials
108,26 Oct 2023,36.3,5859308,Wardens
107,17 Sep 2023,29.1,3822759,Wardens
106,28 Jul 2023,48.8,4938097,Wardens
105,14 Jun 2023,41.7,4826129,Wardens
104,24 May 2023,18.6,1650970,Colonials
103,24 Apr 2023,28.3,2678943,Wardens
102,17 Mar 2023,36.3,4852090,Wardens
101,1 Mar 2023,14.3,1711748,Wardens
100,2 Jan 2023,55.8,6625890,Colonials
99,13 Dec 2022,17.7,1362759,Colonials
98,23 Nov 2022,18.7,1418528,Colonials
97,5 Nov 2022,15.8,1334254,Colonials
96,28 Sep 2022,35.4,4675058,Colonials
95,11 Aug 2022,42.4,4286727,Colonials
94,19 Jul 2022,20.8,2142386,Wardens
93,24 Jun 2022,23.3,2327621,Wardens
92,30 May 2022,23.4,2432041,Colonials
91,3 May 2022,25.4,2726411,Wardens
90,29 Mar 2022,32.7,3402946,Wardens
89,3 Mar 2022,24.2,2467000,Wardens
88,18 Feb 2022,11.5,1167647,Colonials
87,11 Jan 2022,35.7,4040461,Wardens
86,14 Dec 2021,25.9,3098966,Colonials
85,15 Nov 2021,25.5,2307876,Colonials
84,30 Oct 2021,14.1,1138417,Colonials
83,22 Sep 2021,36.7,4378114,Wardens
82,13 Sep 2021,6.1,552333,Wardens
81,12 Aug 2021,30.7,3305972,Colonials
80,16 Jul 2021,25.5,3065227,Wardens
79,29 Jun 2021,15.7,2213271,Colonials
78,22 Jun 2021,6,706343,Colonials
77,8 Jun 2021,13,1254994,Colonials
76,25 May 2021,12.6,1299333,Colonials
75,21 Apr 2021,31.2,3012364,Colonials
74,9 Apr 2021,8.9,899573,Wardens
73,27 Mar 2021,11.6,1249361,Colonials
72,16 Mar 2021,10.1,1401378,Wardens
71,24 Feb 2021,18.3,2581389,Colonials
70,9 Feb 2021,11.4,267875,Colonials
69,20 Jan 2021,17.9,560340,Wardens
68,30 Dec 2020,19.3,724364,Wardens
67,17 Dec 2020,12.3,465535,Colonials
66,30 Nov 2020,14.7,515154,Colonials
65,12 Nov 2020,16.5,585867,Colonials
64,2 Nov 2020,8.1,288287,Colonials
63,26 Oct 2020,5.4,226948,Wardens
62,6 Oct 2020,17.4,599499,Wardens
61,16 Sep 2020,18.3,647868,Wardens
60,29 Aug 2020,15.5,875846,Wardens
59,12 Aug 2020,15.5,1489477,Wardens
58,3 Aug 2020,5.9,132694,Wardens
57,11 Jul 2020,21,362262,Colonials
56,23 Jun 2020,16.5,406941,Colonials
55,11 Jun 2020,9.9,175768,Colonials
54,21 May 2020,19.7,502682,Colonials
53,25 Apr 2020,23.8,627662,Wardens
52,8 Apr 2020,16.1,618022,Wardens
51,20 Mar 2020,17.5,401195,Colonials
50,4 Mar 2020,13.9,354181,Colonials
49,6 Feb 2020,24.1,560691,Wardens
48,25 Jan 2020,10.5,273269,Colonials
47,15 Jan 2020,9.1,307138,Colonials
46,31 Dec 2019,12.8,700568,Wardens
45,11 Dec 2019,18.7,1180121,Colonials
44,27 Nov 2019,10.5,257099,Wardens
43,14 Nov 2019,10.9,227118,Colonials
42,30 Oct 2019,13.1,265555,Wardens
41,16 Oct 2019,12.6,466638,Wardens
40,9 Oct 2019,4.5,90065,Wardens
39,30 Sep 2019,8,189488,Colonials
38,18 Sep 2019,10.4,311843,Colonials
